# Parent ID: -1.0
x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
132096,197888,197888,197888,263681,263681,197888,263681,263681,263681,263936,263936,395522,330243,330243,396036,462083,396290,527874,659460,791811,923652,1054980,1055234,1056259,1253126,1253380,1384710,1385221,1451010,1319940,1319941,1254147,1319173,1253893,1253892,1253382,1187589,1121796,1121541,1121541,989954,924164,858115,923396,791812,594178,593667,527874,527874
263681,263681,263681,132096,263681,263936,329474,263681,329729,329729,395522,395522,264193,461058,396289,396290,462083,462083,527874,659459,791812,923398,1054723,990211,1187334,1122053,1383942,1253379,1450757,1385218,1385219,1319684,1384964,1319683,1254150,1384709,1319686,1253381,1121541,1121541,1121541,1055748,989957,858373,857603,791812,725508,593665,527874,527874
263681,197888,263937,198400,329729,329729,329729,395522,395522,395522,395522,264707,396036,461829,462083,396290,396290,396290,593667,659460,791812,791812,989189,1054980,1186820,1056003,1253382,1319430,1384963,1319171,1253123,1319173,1253893,1384707,1319173,1253639,1319686,1122308,1187589,1055748,989955,989957,858371,923140,791812,726019,528897,659458,593667,527874
329474,198144,263936,329729,329729,461315,329729,461315,461315,264450,330243,330243,396036,396290,396290,462083,462083,527876,527874,659460,725508,791812,923398,989189,1055234,989955,1187589,1318149,1187589,1187587,1253380,1253380,1188100,1187587,1319173,1319173,1253382,1187589,1121796,1121541,989701,858371,988933,857603,791812,726019,659714,659458,593667,593667
329729,263936,263936,329729,461315,395779,330243,329986,330500,330243,330243,396036,396036,462083,396290,462083,396290,462083,527874,593667,659458,791812,857605,791810,989188,923907,858627,989954,990210,1056003,1056514,1056003,1056004,1056003,1187589,1121796,1121796,1055491,1187334,1055748,989957,924165,857346,857604,791812,660227,659715,593665,593667,527874
264192,264449,329729,395522,264706,198657,461315,461315,395779,330243,396036,330244,461829,396290,462083,462083,462083,265217,396288,593667,593667,659457,856324,857605,857605,791810,857603,923394,1120770,858626,1055748,924162,858625,924162,924162,924162,924421,924162,1120517,923907,858373,988932,857604,726019,659458,724994,659458,593665,527874,527874
263681,395009,329985,264193,133121,198915,330243,330243,396036,330243,330243,395780,395780,461829,462083,462083,462083,462083,527622,527874,593667,658690,593665,659458,724995,726019,726018,857346,857603,923394,923394,923394,857601,857601,923394,857601,989189,857603,923396,857603,857603,791812,660226,659202,527872,593667,724737,527875,462081,462081
263682,329473,329729,395522,329729,395522,329986,329986,330243,330243,330243,264450,330243,396036,396290,396290,396290,396290,462083,462081,1184517,2497798,462081,527874,527874,527872,593665,659458,726019,726018,857092,726019,791812,857348,791809,791812,791812,726019,791812,791812,791300,724994,593667,593666,527874,527874,462081,527874,462081,396290
263681,329474,329474,395522,395522,395522,461315,329986,395779,264450,264450,330243,264450,264450,264704,396289,396290,330497,396290,3548686,8346659,9793568.0,396545,396290,396289,527874,527874,527874,593665,593665,527872,593665,659458,593666,593665,593665,593665,593665,724994,659458,593667,462081,462081,396288,396290,396290,462080,396289,396290,264960
263681,329473,329474,395267,329729,395522,329729,461315,329986,461315,395265,329729,395522,264450,330242,396290,330497,330496,921605,9795638.0,9661990.0,1.0320418E7,658692,396290,330497,396290,396290,396290,396288,462081,462081,396288,593154,593154,397058,527874,592642,658690,462081,659203,396288,396290,396290,265218,461313,330497,330497,330497,264961,461313
