@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data
1,1,0,0,0,0,0.417054,0.277746,0.084007,0.891965,0.326918,0.340634,0.397942,0.550035,0.305085,0.521561,0.455056,0.375494,0.568947,0.480902,0.380256,0.415827,0.241038,0.290238,0.049542,0.093567,0.116866,0.195826,0.218945,0.206823,0.251366,0.359745,0.41408,0.223106,0.267801,0.243025,0.296347,0.211426,0.065869,0.186889,0.077081,0.05798,0.173697,0.153854,0.18144,0.206104,0.20127,0.133456,0.197034,0.201474,0.098611,0.085022,0.121784,0.09396,0.33143,0.290134,0.932181,0.548013,0.396584,0.304866,0.266326,0.1123,0.256538,0.259748,0.240222,0.187566,0.166935,0.091143,0.105484,0.073632,0.278436,0.460317,0.256143,0.43609,0.512495,0.075458,0.477747
0,0,0,0,0,1,0.199972,0.15696,0.157012,0.628549,0.325996,0.330492,0.479064,0.722688,0.475707,0.529306,0.622561,0.454213,0.795155,0.575051,0.429049,0.40184,0.1965,0.354518,0.091767,0.304588,0.236257,0.455069,0.713112,0.736277,0.584069,0.813943,0.434732,0.346292,0.600776,0.403782,0.524407,0.303664,0.095571,0.19677,0.08301,0.07136,0.189412,0.182543,0.293683,0.429547,0.297587,0.241844,0.115739,0.071588,0.115625,0.130963,0.135741,0.073557,0.306054,0.480922,0.906873,0.570212,0.391063,0.404316,0.406663,0.415425,0.378082,0.465924,0.182384,0.20434,0.36142,0.140581,0.105807,0.100076,0.055435,0.349206,0.005022,0.330827,0.114303,0.030297,0.108691
0,0,0,1,1,0,0.122595,0.023182,0.127259,0.491571,0.803194,0.542151,0.354469,0.673371,0.813474,0.631414,0.62619,0.313824,0.527451,0.204038,0.104277,0.098534,0.052576,0.058,0.108171,0.181941,0.354787,0.477195,0.253254,0.249042,0.185352,0.420025,0.20246,0.18115,0.361989,0.321913,0.40353,0.466227,0.041801,0.075195,0.154691,0.170448,0.285689,0.168927,0.229613,0.38286,0.259028,0.242536,0.130074,0.089637,0.152747,0.211469,0.198357,0.122208,0.346321,0.250686,0.883352,0.484264,0.513263,0.491371,0.263209,0.361918,0.447525,0.510841,0.17097,0.149736,0.211443,0.166376,0.185389,0.396196,0.048298,0.857143,0,0.81203,0.088928,0.204104,0.226557
0,0,0,0,0,1,0.281959,0.110373,0.269418,0.661092,0.540599,0.330202,0.372555,0.49553,0.190787,0.203206,0.57396,0.416278,0.592342,0.126493,0.205997,0.388469,0.110174,0.096668,0.262826,0.251267,0.192339,0.119965,0.093776,0.128877,0.170699,0.361435,0.219307,0.124051,0.346531,0.265345,0.231979,0.225745,0.116429,0.158241,0.09892,0.125803,0.38789,0.145716,0.323244,0.239063,0.389268,0.306578,0.140178,0.055492,0.093175,0.141439,0.076006,0.051917,0.294614,0.27004,0.82272,0.387631,0.318704,0.179179,0.032952,0.079055,0.098923,0.160122,0.136638,0.054298,0.208137,0.253818,0.139604,0.090722,0.223591,0.666667,0.308154,0.631579,0.119346,0.39933,0.601022
0,0,0,1,0,0,0.347436,0.155448,0.100047,0.126026,0.45695,0.539992,0.301537,0.598898,0.36199,0.484839,0.646532,0.520983,0.887006,0.55065,0.373552,0.373699,0.178554,0.150008,0.045284,0.227232,0.18327,0.309233,0.188338,0.302628,0.275626,0.39999,0.478468,0.478095,0.644428,0.705417,0.737404,0.418726,0.340997,0.548333,0.273571,0.535455,0.514268,0.43888,0.367572,0.526058,0.485215,0.456886,0.424624,0.335312,0.485055,0.385908,0.523032,0.340229,0.503828,0.422766,0.918634,0.686384,0.474845,0.366783,0.218394,0.370754,0.481513,0.54268,0.695774,0.783841,0.827826,0.715683,0.573359,0.412368,0.016398,0.761905,0.081703,0.721805,0.108737,0.172882,0.189934
1,0,0,0,0,1,0.468336,0.363911,0.256416,0.666463,0.190517,0.160931,0.182624,0.939344,0.663357,0.6376,0.840384,0.574646,0.592155,0.772431,0.571305,0.514445,0.39448,0.458208,0.128734,0.168442,0.292436,0.42437,0.302134,0.544314,0.366246,0.465531,0.415699,0.138875,0.293541,0.180835,0.378778,0.273971,0.189196,0.113085,0.219913,0.320562,0.462799,0.134701,0.290574,0.359379,0.215212,0.131859,0.115268,0.068461,0.069652,0.080722,0.071024,0.035358,0.293292,0.315665,0.880521,0.416955,0.075441,0.156673,0.173303,0.25067,0.238487,0.186975,0.12976,0.082916,0.048417,0.020418,0.053146,0.057945,0.341035,0.253968,0.30389,0.240602,0.45729,0.373224,0.472132
0,1,0,0,0,0,0.409544,0.269046,0.11044,0.809396,0.303087,0.489655,0.50601,0.432816,0.376424,0.505229,0.544003,0.316533,0.497461,0.562506,0.619556,0.429902,0.158892,0.157971,0.054438,0.066166,0.04112,0.120726,0.12878,0.191687,0.246035,0.315573,0.270329,0.235522,0.28197,0.347882,0.42335,0.314276,0.035672,0.08453,0.153223,0.076059,0.041024,0.142857,0.175527,0.194558,0.296759,0.253773,0.225389,0.108334,0.148028,0.188799,0.145941,0.228468,0.250216,0.132128,0.91907,0.382304,0.141858,0.265343,0.268323,0.249194,0.229384,0.288571,0.131035,0.150309,0.172162,0.149905,0.142542,0.153197,0.335805,0.190476,0.369242,0.180451,0.646747,0.46736,0.611967
1,0,0,0,0,1,0.538445,0.366025,0.130332,0.932269,0.258736,0.323266,0.541559,0.495988,0.098591,0.735268,0.485606,0.327964,0.484994,0.363673,0.410297,0.215185,0.307237,0.278825,0.048541,0.133588,0.165298,0.31689,0.273966,0.240329,0.248464,0.336804,0.338496,0.164812,0.278058,0.274523,0.294226,0.211477,0.170517,0.213106,0.11753,0.215277,0.192034,0.232229,0.332905,0.166618,0.260325,0.152957,0.082749,0.095992,0.189461,0.138815,0.111122,0.079803,0.293513,0.341766,0.917937,0.751106,0.278234,0.411319,0.362039,0.23193,0.237982,0.252636,0.205898,0.066951,0.111955,0.089006,0.08462,0.07735,0.073945,0.555556,0.066767,0.526316,0.221346,0.14368,0.265365
0,1,1,0,0,0,0.250196,0.128578,0.1753,0.491949,0.414191,0.352799,0.651919,0.464551,0.144889,0.462923,0.905461,0.636334,0.539231,0.269452,0.397296,0.425025,0.208817,0.212052,0.131517,0.253579,0.198214,0.396814,0.339083,0.279387,0.481244,0.414298,0.382282,0.214078,0.345613,0.372431,0.373393,0.289107,0.09908,0.105164,0.149583,0.243991,0.135002,0.288843,0.47852,0.43675,0.494338,0.276046,0.212058,0.155869,0.215996,0.197884,0.240647,0.163703,0.297093,0.318821,0.874466,0.574664,0.242423,0.475406,0.400116,0.259274,0.499379,0.303188,0.210308,0.136826,0.243728,0.287406,0.197582,0.276903,0.20791,0.222222,0.156207,0.210526,0.314374,0.185853,0.253414
0,1,1,0,0,0,0.299318,0.181396,0.301667,0.516206,0.468955,0.429373,0.706009,0.286153,0.6098,0.199722,0.694013,0.31932,0.447531,0.629953,0.390483,0.277522,0.222156,0.261809,0.20797,0.434428,0.497342,0.45581,0.603875,0.596014,0.523924,0.701024,0.526394,0.289555,0.472554,0.387296,0.485665,0.302268,0.146412,0.209659,0.236703,0.390243,0.363742,0.411429,0.72232,0.677784,0.396444,0.481505,0.352356,0.198684,0.34911,0.226063,0.278695,0.214349,0.298856,0.442759,0.849029,0.480135,0.509181,0.461753,0.488657,0.659877,0.4849,0.60893,0.535152,0.221256,0.48034,0.237177,0.259445,0.348411,0.041759,0,0.055661,0.390977,0.140254,0.050109,0.149005
